id,cod_region,region,ccdd,departamento,ccpp,provincia,ccdi,distrito,cod_cen_pob,cen_pob,area,ruta,niv_ini_sel,niv_pri_sel,niv_sec_sel,resfin,orden_sec,tipo_sec,det_id,dir_niv_ini,dir_niv_pri,dir_niv_sec,es_director,es_docente,nombre,sel_area,ddir_g_002,ddir_g_010,p4_2_01_015_1,p4_2_01_015_2,p4_2_01_015_3,p4_2_01_015_4,p4_2_01_015_5,p4_2_01_015_6,p4_2_01_015_7,p4_2_01_015_8,p4_2_01_015_9,p4_2_01_015_10,p4_2_01_015_11,p4_2_01_016,p4_2_02_001,p4_2_02_001_1_1,p4_2_02_001_1_2,p4_2_02_001_1_3,p4_2_02_001_1_4,p4_2_02_001_1_5,p4_2_02_001_1_6,p4_2_02_001_1_7,p4_2_02_001_1_7_o,p4_2_05_001,p4_2_05_001_1,p4_2_05_001_2,p4_2_05_002_1,p4_2_05_002_2,p4_2_05_003,p4_2_05_005_a,p4_2_05_004,p4_2_05_005,p4_2_05_006,p4_2_05_007,p4_2_05_008,p4_2_05_009,p4_2_05_010,p4_2_06_001_1,p4_2_06_001_2,p4_2_06_001_3,p4_2_06_002_1,p4_2_06_002_2,p4_2_06_003,p4_2_06_006,p4_2_06_005,p4_2_06_004,p4_2_06_007,p4_2_06_007_1,p4_2_06_007_2,p4_2_06_008_1,p4_2_06_008_2,p4_2_06_009,p4_2_06_012,p4_2_06_011,p4_2_06_010,res_fin_sec,f_ex_doc_sec,f_ex_secc_sec
58,01,AMAZONAS,01,AMAZONAS,02,BAGUA,01,BAGUA,122815,BAGUA,urbana,008,0,0,nivel secundaria seleccionado,1.completa,3,segundo,3,,,,0,1,C,MATEMATICA,1.masculino,2.contratado,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,29,1.sí,1.sí,1.sí,1.sí,2.no,2.no,1.sí,2.no,,1.sí,29,0,12,3,1.sí,2.poca frecuencia?,3.poco útil?,3.difícil?,1.sí,2.no,,,,1.sí,29,12,12,3,1.sí,2.poca frecuencia?,3.difícil,3.poco útil?,,,,,,,,,,1.completa,2.0881293,.69326442
65,01,AMAZONAS,01,AMAZONAS,02,BAGUA,02,ARAMANGO,111736,ARAMANGO,urbana,020,0,0,nivel secundaria seleccionado,1.completa,2,segundo,3,,,,0,1,B,COMUNICACION,2.femenino,1.nombrado,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,16,1.sí,1.sí,2.no,2.no,2.no,2.no,1.sí,2.no,,1.sí,16,0,12,3,1.sí,1.mucha frecuencia?,2.Útil?,3.difícil?,1.sí,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,16,4,12,3,1.sí,1.mucha frecuencia?,3.difícil,2.Útil?,1.sí,16,0,12,3,1.sí,1.mucha frecuencia?,3.difícil,2.Útil?,1.completa,2.9167519,2.1788311
65,01,AMAZONAS,01,AMAZONAS,02,BAGUA,02,ARAMANGO,111736,ARAMANGO,urbana,020,0,0,nivel secundaria seleccionado,1.completa,1,segundo,4,,,,0,1,A,MATEMATICA,2.femenino,2.contratado,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,18,1.sí,1.sí,2.no,2.no,2.no,2.no,1.sí,2.no,,1.sí,18,5,12,3,1.sí,2.poca frecuencia?,3.poco útil?,3.difícil?,1.sí,1.sí,2.poca frecuencia?,2.Útil?,2.fácil?,1.sí,18,0,12,3,1.sí,1.mucha frecuencia?,3.difícil,2.Útil?,,,,,,,,,,1.completa,2.9167519,2.1788311
69,01,AMAZONAS,01,AMAZONAS,02,BAGUA,02,ARAMANGO,122618,EL MUYO,urbana,020,0,nivel primaria seleccionado,nivel secundaria seleccionado,1.completa,2,segundo,5,,,,0,1,B,HGE,1.masculino,2.contratado,2.no,2.no,2.no,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,19,1.sí,1.sí,1.sí,2.no,2.no,2.no,1.sí,2.no,,1.sí,19,0,12,3,1.sí,1.mucha frecuencia?,2.Útil?,3.difícil?,1.sí,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,19,0,12,3,1.sí,1.mucha frecuencia?,3.difícil,2.Útil?,,,,,,,,,,1.completa,4.2983713,4.2812119
69,01,AMAZONAS,01,AMAZONAS,02,BAGUA,02,ARAMANGO,122618,EL MUYO,urbana,020,0,nivel primaria seleccionado,nivel secundaria seleccionado,1.completa,1,segundo,6,,,,0,1,A,MATEMATICA,1.masculino,2.contratado,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,1.sí,20,1.sí,1.sí,1.sí,1.sí,2.no,2.no,1.sí,2.no,,1.sí,20,0,12,3,1.sí,1.mucha frecuencia?,2.Útil?,3.difícil?,1.sí,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,20,0,12,3,1.sí,1.mucha frecuencia?,3.difícil,2.Útil?,,,,,,,,,,1.completa,4.2983713,4.2812119
79,01,AMAZONAS,01,AMAZONAS,02,BAGUA,05,IMAZA,115087,CHIPE-CUZU,urbana,006,0,0,nivel secundaria seleccionado,1.completa,1,segundo,3,,,,0,1,2A,HGE,1.masculino,2.contratado,2.no,2.no,2.no,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,21,2.no,,,,,,,,,2.no,,,,,,,,,1.sí,1.sí,3.muy poca frecuencia?,2.Útil?,2.fácil?,1.sí,21,0,12,3,1.sí,2.poca frecuencia?,3.difícil,2.Útil?,,,,,,,,,,1.completa,6.8057542,4.5190573
79,01,AMAZONAS,01,AMAZONAS,02,BAGUA,05,IMAZA,115087,CHIPE-CUZU,urbana,006,0,0,nivel secundaria seleccionado,1.completa,2,segundo,3,,,,0,1,2B,HGE,1.masculino,2.contratado,2.no,2.no,2.no,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,18,2.no,,,,,,,,,2.no,,,,,,,,,1.sí,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,18,0,12,3,1.sí,2.poca frecuencia?,3.difícil,2.Útil?,,,,,,,,,,1.completa,6.8057542,4.5190573
80,01,AMAZONAS,01,AMAZONAS,02,BAGUA,05,IMAZA,115622,NAZARETH,rural,007,0,0,nivel secundaria seleccionado,1.completa,1,segundo,2,,,,0,1,A,COMUNICACION,1.masculino,2.contratado,2.no,1.sí,2.no,2.no,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,21,1.sí,2.no,1.sí,1.sí,2.no,2.no,1.sí,2.no,,1.sí,15,0,17,3,1.sí,1.mucha frecuencia?,2.Útil?,4.muy difícil?,2.no,,,,,1.sí,21,0,17,3,1.sí,2.poca frecuencia?,4.muy difícil,2.Útil?,1.sí,21,0,17,3,1.sí,2.poca frecuencia?,4.muy difícil,2.Útil?,1.completa,1.6789672,.57600933
80,01,AMAZONAS,01,AMAZONAS,02,BAGUA,05,IMAZA,115622,NAZARETH,rural,007,0,0,nivel secundaria seleccionado,1.completa,3,segundo,3,,,,0,1,C,MATEMATICA,2.femenino,2.contratado,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,1.sí,1.sí,18,1.sí,1.sí,1.sí,1.sí,2.no,1.sí,2.no,2.no,,2.no,,,,,,,,,1.sí,1.sí,1.mucha frecuencia?,1.muy útil?,3.difícil,1.sí,18,0,16,4,2.no,,,,,,,,,,,,,1.completa,1.6789672,.57600933
81,01,AMAZONAS,01,AMAZONAS,02,BAGUA,05,IMAZA,115974,SHUSHUG,rural,007,0,0,nivel secundaria seleccionado,1.completa,1,segundo,3,,,,0,1,A,COMUNICACION,1.masculino,1.nombrado,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,25,1.sí,1.sí,2.no,2.no,2.no,2.no,1.sí,2.no,,2.no,,,,,,,,,1.sí,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,25,0,12,3,1.sí,1.mucha frecuencia?,3.difícil,2.Útil?,1.sí,25,0,12,3,1.sí,1.mucha frecuencia?,3.difícil,2.Útil?,1.completa,3.0781066,2.1120341
87,01,AMAZONAS,01,AMAZONAS,02,BAGUA,05,IMAZA,118993,CHIRIACO,urbana,007,0,0,nivel secundaria seleccionado,1.completa,3,segundo,2,,,,0,1,C,HGE,1.masculino,2.contratado,2.no,2.no,2.no,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,33,1.sí,1.sí,2.no,2.no,2.no,2.no,1.sí,2.no,,1.sí,31,0,5,4,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,1.sí,2.poca frecuencia?,2.Útil?,2.fácil?,1.sí,33,2,5,4,1.sí,1.mucha frecuencia?,2.fácil?,2.Útil?,,,,,,,,,,1.completa,1.28276,.63881958
87,01,AMAZONAS,01,AMAZONAS,02,BAGUA,05,IMAZA,118993,CHIRIACO,urbana,007,0,0,nivel secundaria seleccionado,1.completa,1,segundo,3,,,,0,1,A,MATEMATICA,1.masculino,1.nombrado,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,27,2.no,,,,,,,,,2.no,,,,,,,,,1.sí,1.sí,2.poca frecuencia?,3.poco útil?,2.fácil?,1.sí,27,0,12,3,1.sí,2.poca frecuencia?,3.difícil,3.poco útil?,,,,,,,,,,1.completa,1.28276,.63881958
88,01,AMAZONAS,01,AMAZONAS,02,BAGUA,05,IMAZA,119168,MESONES MURO,rural,019,0,0,nivel secundaria seleccionado,1.completa,1,segundo,2,,,,0,1,A,COMUNICACION,1.masculino,2.contratado,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,34,1.sí,1.sí,2.no,1.sí,1.sí,1.sí,1.sí,2.no,,2.no,,,,,,,,,2.no,,,,,2.no,,,,,,,,,2.no,,,,,,,,,1.completa,8.0800295,2.7720449
94,01,AMAZONAS,01,AMAZONAS,02,BAGUA,05,IMAZA,126703,SHUSHUNGA,rural,007,0,0,nivel secundaria seleccionado,1.completa,1,segundo,2,,,,0,1,A,HGE,1.masculino,2.contratado,2.no,2.no,2.no,2.no,1.sí,2.no,1.sí,2.no,2.no,2.no,2.no,28,1.sí,2.no,2.no,2.no,2.no,2.no,1.sí,2.no,,1.sí,5,0,12,3,1.sí,1.mucha frecuencia?,2.Útil?,3.difícil?,1.sí,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,28,0,12,3,1.sí,1.mucha frecuencia?,3.difícil,2.Útil?,,,,,,,,,,1.completa,3.5911243,2.4640398
97,01,AMAZONAS,01,AMAZONAS,02,BAGUA,05,IMAZA,127258,IMACITA,urbana,019,0,0,nivel secundaria seleccionado,1.completa,1,segundo,3,,,,0,1,A,HGE,2.femenino,1.nombrado,2.no,2.no,2.no,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,32,1.sí,1.sí,2.no,2.no,2.no,2.no,1.sí,2.no,,2.no,,,,,,,,,1.sí,1.sí,1.mucha frecuencia?,1.muy útil?,2.fácil?,2.no,,,,,,,,,,,,,,,,,,1.completa,1.7651427,.43952405
